年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2017,野菜,その他*1の生食用野菜,総検体数,-,,,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O103,8,0,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O111,12,0,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O121,8,0,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O145,8,0,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O157,12,0,厚生労働省指定品目
2017,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O26,12,0,厚生労働省指定品目
2017,野菜,その他ミンチ肉*3,E.coli,-,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,カンピロバクター,-,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,サルモネラ属菌,-,1,1,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,総検体数,-,,,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O103,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O111,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O121,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O145,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O157,0,0,実選施定自品治目体
2017,野菜,その他ミンチ肉*3,腸管出血性大腸菌,O26,0,0,実選施定自品治目体
2017,野菜,みつば,E.coli,-,23,8,厚生労働省指定品目
2017,野菜,みつば,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,みつば,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,みつば,総検体数,-,,,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O103,13,0,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O111,15,0,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O121,13,0,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O145,13,0,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O157,15,0,厚生労働省指定品目
2017,野菜,みつば,腸管出血性大腸菌,O26,15,0,厚生労働省指定品目
2017,野菜,もやし,E.coli,-,39,15,厚生労働省指定品目
2017,野菜,もやし,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,もやし,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,もやし,総検体数,-,,,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O103,20,0,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O111,20,0,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O121,20,0,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O145,20,0,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O157,20,0,厚生労働省指定品目
2017,野菜,もやし,腸管出血性大腸菌,O26,20,0,厚生労働省指定品目
2017,野菜,アルファルファ,E.coli,-,4,1,厚生労働省指定品目
2017,野菜,アルファルファ,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,アルファルファ,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,アルファルファ,総検体数,-,,,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O103,2,0,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O111,2,0,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O121,2,0,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O145,2,0,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O157,2,0,厚生労働省指定品目
2017,野菜,アルファルファ,腸管出血性大腸菌,O26,2,0,厚生労働省指定品目
2017,野菜,カイワレ,E.coli,-,36,3,厚生労働省指定品目
2017,野菜,カイワレ,カンピロバクター,-,1,0,厚生労働省指定品目
2017,野菜,カイワレ,サルモネラ属菌,-,1,0,厚生労働省指定品目
2017,野菜,カイワレ,総検体数,-,,,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O103,21,0,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O111,23,0,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O121,21,0,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O145,21,0,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O157,23,0,厚生労働省指定品目
2017,野菜,カイワレ,腸管出血性大腸菌,O26,23,0,厚生労働省指定品目
2017,野菜,カット野菜,E.coli,-,111,5,厚生労働省指定品目
2017,野菜,カット野菜,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,カット野菜,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,カット野菜,総検体数,-,,,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O103,81,0,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O111,91,0,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O121,81,0,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O145,81,0,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O157,91,0,厚生労働省指定品目
2017,野菜,カット野菜,腸管出血性大腸菌,O26,91,0,厚生労働省指定品目
2017,野菜,キュウリ,E.coli,-,53,3,厚生労働省指定品目
2017,野菜,キュウリ,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,キュウリ,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,キュウリ,総検体数,-,,,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O103,31,0,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O111,37,0,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O121,31,0,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O145,31,0,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O157,37,0,厚生労働省指定品目
2017,野菜,キュウリ,腸管出血性大腸菌,O26,37,0,厚生労働省指定品目
2017,野菜,スプラウト,E.coli,-,4,0,厚生労働省指定品目
2017,野菜,スプラウト,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,スプラウト,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,スプラウト,総検体数,-,,,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O103,4,0,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O111,6,0,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O121,4,0,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O145,4,0,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O157,6,0,厚生労働省指定品目
2017,野菜,スプラウト,腸管出血性大腸菌,O26,6,0,厚生労働省指定品目
2017,野菜,トマト,E.coli,-,47,0,厚生労働省指定品目
2017,野菜,トマト,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,トマト,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,トマト,総検体数,-,,,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O103,21,0,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O111,30,0,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O121,21,0,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O145,21,0,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O157,30,0,厚生労働省指定品目
2017,野菜,トマト,腸管出血性大腸菌,O26,30,0,厚生労働省指定品目
2017,野菜,レタス,E.coli,-,44,4,厚生労働省指定品目
2017,野菜,レタス,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,レタス,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,レタス,総検体数,-,,,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O103,21,0,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O111,27,0,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O121,21,0,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O145,21,0,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O157,27,0,厚生労働省指定品目
2017,野菜,レタス,腸管出血性大腸菌,O26,27,0,厚生労働省指定品目
2017,野菜,水菜,E.coli,-,29,5,厚生労働省指定品目
2017,野菜,水菜,カンピロバクター,-,0,0,厚生労働省指定品目
2017,野菜,水菜,サルモネラ属菌,-,0,0,厚生労働省指定品目
2017,野菜,水菜,総検体数,-,,,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O103,20,0,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O111,20,0,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O121,20,0,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O145,20,0,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O157,20,0,厚生労働省指定品目
2017,野菜,水菜,腸管出血性大腸菌,O26,20,0,厚生労働省指定品目
2017,野菜,漬物用野菜,E.coli,-,5,0,実選施定自品治目体
2017,野菜,漬物用野菜,カンピロバクター,-,0,0,実選施定自品治目体
2017,野菜,漬物用野菜,サルモネラ属菌,-,0,0,実選施定自品治目体
2017,野菜,漬物用野菜,総検体数,-,,,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O103,11,0,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O111,11,0,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O121,11,0,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O145,11,0,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O157,11,0,実選施定自品治目体
2017,野菜,漬物用野菜,腸管出血性大腸菌,O26,11,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,E.coli,-,0,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,カンピロバクター,-,1,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,サルモネラ属菌,-,1,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,総検体数,-,,,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O103,1,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O111,2,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O121,1,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O145,1,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O157,2,0,実選施定自品治目体
2017,野菜,生食用の食肉（牛）,腸管出血性大腸菌,O26,2,0,実選施定自品治目体
2017,野菜,食肉加工品*4,E.coli,-,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,カンピロバクター,-,1,0,実選施定自品治目体
2017,野菜,食肉加工品*4,サルモネラ属菌,-,1,0,実選施定自品治目体
2017,野菜,食肉加工品*4,総検体数,-,,,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O103,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O111,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O121,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O145,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O157,0,0,実選施定自品治目体
2017,野菜,食肉加工品*4,腸管出血性大腸菌,O26,0,0,実選施定自品治目体
2017,食肉,カットステーキ肉,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,サルモネラ属菌,-,29,2,厚生労働省指定品目
2017,食肉,カットステーキ肉,総検体数,-,,,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O103,20,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O111,25,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O121,20,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O145,20,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O157,25,0,厚生労働省指定品目
2017,食肉,カットステーキ肉,腸管出血性大腸菌,O26,25,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,カンピロバクター,-,2,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,サルモネラ属菌,-,18,1,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,総検体数,-,,,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O103,13,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O111,14,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O121,13,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O145,13,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O157,14,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛を含むもの）,腸管出血性大腸菌,O26,14,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,サルモネラ属菌,-,10,1,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,総検体数,-,,,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O103,32,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O111,42,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O121,32,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O145,32,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,42,0,厚生労働省指定品目
2017,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,42,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,サルモネラ属菌,-,54,3,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,総検体数,-,,,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O103,9,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O111,11,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O121,9,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O145,9,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,11,0,厚生労働省指定品目
2017,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,11,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,カンピロバクター,-,1,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,28,14,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,総検体数,-,,,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O103,7,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O111,8,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O121,7,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O145,7,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,8,0,厚生労働省指定品目
2017,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,8,0,厚生労働省指定品目
2017,食肉,ローストビーフ,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,ローストビーフ,カンピロバクター,-,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,サルモネラ属菌,-,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,総検体数,-,,,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O103,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O111,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O121,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O145,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O157,1,0,厚生労働省指定品目
2017,食肉,ローストビーフ,腸管出血性大腸菌,O26,1,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,カンピロバクター,-,13,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,サルモネラ属菌,-,11,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,総検体数,-,,,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O103,2,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O111,2,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O121,2,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O145,2,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O157,2,0,厚生労働省指定品目
2017,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O26,2,0,厚生労働省指定品目
2017,食肉,牛結着肉,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,牛結着肉,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,牛結着肉,サルモネラ属菌,-,27,4,厚生労働省指定品目
2017,食肉,牛結着肉,総検体数,-,,,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O103,26,0,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O111,34,0,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O121,26,0,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O145,26,0,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O157,34,0,厚生労働省指定品目
2017,食肉,牛結着肉,腸管出血性大腸菌,O26,34,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,サルモネラ属菌,-,3,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,総検体数,-,,,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O103,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O111,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O121,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O145,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O157,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（イノシシ）,腸管出血性大腸菌,O26,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,カンピロバクター,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,サルモネラ属菌,-,1,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,総検体数,-,,,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O103,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O111,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O121,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O145,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O157,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（山羊）,腸管出血性大腸菌,O26,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,カンピロバクター,-,17,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,サルモネラ属菌,-,22,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,総検体数,-,,,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O103,13,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O111,14,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O121,13,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O145,13,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O157,14,0,厚生労働省指定品目
2017,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O26,14,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,E.coli,-,0,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,カンピロバクター,-,3,1,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,サルモネラ属菌,-,3,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,総検体数,-,,,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O103,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O111,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O121,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O145,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O157,2,0,厚生労働省指定品目
2017,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O26,2,0,厚生労働省指定品目
2018,加工品,漬物,E.coli,-,89,3,厚生労働省指定品目
2018,加工品,漬物,カンピロバクター,-,0,0,厚生労働省指定品目
2018,加工品,漬物,サルモネラ属菌,-,0,0,厚生労働省指定品目
2018,加工品,漬物,総検体数,-,,,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O103,73,0,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O111,83,0,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O121,73,0,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O145,73,0,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O157,83,0,厚生労働省指定品目
2018,加工品,漬物,腸管出血性大腸菌,O26,83,0,厚生労働省指定品目
2018,野菜,その他＊213)生食用野菜,E.coli,-,17,3,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,カンピロバクター,-,0,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,サルモネラ属菌,-,0,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,総検体数,-,,,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O103,13,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O111,13,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O121,13,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O145,13,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O157,13,0,実選施定自品治目体
2018,野菜,その他＊213)生食用野菜,腸管出血性大腸菌,O26,13,0,実選施定自品治目体
2018,野菜,ほうれん草,E.coli,-,5,0,実選施定自品治目体
2018,野菜,ほうれん草,カンピロバクター,-,0,0,実選施定自品治目体
2018,野菜,ほうれん草,サルモネラ属菌,-,0,0,実選施定自品治目体
2018,野菜,ほうれん草,総検体数,-,,,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O103,1,0,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O111,1,0,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O121,1,0,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O145,1,0,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O157,1,0,実選施定自品治目体
2018,野菜,ほうれん草,腸管出血性大腸菌,O26,1,0,実選施定自品治目体
2018,野菜,みつば,E.coli,-,21,10,厚生労働省指定品目
2018,野菜,みつば,カンピロバクター,-,0,0,厚生労働省指定品目
2018,野菜,みつば,サルモネラ属菌,-,0,0,厚生労働省指定品目
2018,野菜,みつば,総検体数,-,,,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O103,11,0,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O111,12,0,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O121,11,0,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O145,11,0,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O157,12,0,厚生労働省指定品目
2018,野菜,みつば,腸管出血性大腸菌,O26,12,0,厚生労働省指定品目
2018,野菜,アルファルファ,E.coli,-,9,5,厚生労働省指定品目
2018,野菜,アルファルファ,カンピロバクター,-,0,0,厚生労働省指定品目
2018,野菜,アルファルファ,サルモネラ属菌,-,0,0,厚生労働省指定品目
2018,野菜,アルファルファ,総検体数,-,,,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O103,4,0,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O111,6,0,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O121,4,0,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O145,4,0,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O157,6,0,厚生労働省指定品目
2018,野菜,アルファルファ,腸管出血性大腸菌,O26,6,0,厚生労働省指定品目
2018,野菜,カイワレ,E.coli,-,34,3,厚生労働省指定品目
2018,野菜,カイワレ,カンピロバクター,-,0,0,厚生労働省指定品目
2018,野菜,カイワレ,サルモネラ属菌,-,0,0,厚生労働省指定品目
2018,野菜,カイワレ,総検体数,-,,,厚生労働省指定品目
2018,野菜,カイワレ,腸管出血性大腸菌,O103,17,0,厚生労働省指定品目
