調査年,食品取扱区分,食品カテゴリ,食品名,食品詳細,検査方法,細菌名,汚染濃度,単位,実施機関,調査名,source URL,閲覧日,備考
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,もも肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,1.5~1.9,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,ササミ,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,むね肉,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,手羽先,輸入,MPN,Salmonella spp.,<1.5,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,手羽先,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,手羽先,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2004~2011,食材,鶏肉,手羽先,輸入,MPN,Salmonella spp.,不検出,log MPN/100g,埼玉県衛生研究所,市販鶏肉におけるカンピロバクター・サルモネラ汚染実態調査,https://jvma-vet.jp/mag/06706/d2.pdf,2025/9/28,食品詳細:輸入
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,<1,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+01,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+02,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+03,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+03,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+03,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+03,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
2001,食材,鶏肉,鶏レバー（肝臓）,市販チキンレバー,plate_count,Campylobacter jejuni/coli,1.00E+03,CFU/g,帯広畜産大学,MPN法および直接平板塗抹法による市販鶏レバーのカンピロバクターの定量検査,https://www.jstage.jst.go.jp/article/jvma1951/55/7/55_7_447/_pdf/-char/en,2025/9/28,method_details: 平板法による定量結果;食品詳細:市販チキンレバー
